,companies,prices,ratings,locations,published_by,floors,bedrooms,construction_status,Area_sq_ft
121,"
Pratapa Rudra Luxury Villas
",1.77 Cr - 1.90 Cr,,"
in Rampally
, Hyderabad
","
by Helix Vulcha Developers
",1 Floor Plan,"
3 BHK
Flat



","
Possession in 2024
","
3228 - 3466 sqft
"
122,"
Aparna Zenon
",79.5 Lac - 1.70 Cr,,"
in Puppalaguda
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",9 Floor Plan,"
2 BHK
Flat



","
Possession in 2025
","
855 sqft
(Carpet Area)
"
123,"
Incor Lake City
",39 Lac - 75.3 Lac,,"
in Patancheru
, Hyderabad
","
by Incor Infrastructure Pvt. Ltd.
",7 Floor Plan,"
1 BHK
Flat



","
Possession in 2023
","
794 sqft
"
124,"
Shree Krishna Homes
",44 Lac - 75.2 Lac,,"
in Kompally
, Hyderabad
","
by Shree Krishna Homes
",12 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1100 - 1240 sqft
"
125,"
Tribhuja
",44.9 Lac - 68.8 Lac,,"

in Kollur, Outer Ring Road
, Hyderabad
","
by Tribhuja Developers
",3 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1320 sqft
"
126,"
Praneeth Pranav Flora
",45 Lac - 69.5 Lac,,"
in Bahadurpally
, Hyderabad
","
by Praneeth Group
",3 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1153 sqft
"
127,"
Sri Vathsas Sterling Abode
",54.1 Lac - 78.1 Lac,,"
in Yapral
, Hyderabad
","
by Sri Vathsa Homes Pvt Ltd
",10 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1176 - 1273 sqft
"
128,"
Jewel
",54.2 Lac - 81 Lac,,"
in Aminpur
, Hyderabad
","
by Prekon Constructions
",3 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1205 sqft
"
129,"
Vasavi Metropolis
",55.4 Lac - 1.10 Cr,,"
in Uppal, NH 2 2
, Hyderabad
","
by Vasavi Group
",,"
2 BHK
Flat



","
Possession in 2024
","
1065 - 1195 sqft
"
130,"
Sri Nivasam
",55.6 Lac - 76.9 Lac,,"
in Narapally
, Hyderabad
","
by Vasavi Constructions
",12 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1135 - 1570 sqft
"
131,"
Gothic Pentagon Clouds
",63.9 Lac - 1.13 Cr,,"
in Bachupally
, Hyderabad
","
by Gothic Living Spaces
",15 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1305 sqft
"
132,"
Concrete Avasa
",65.8 Lac - 1.06 Cr,,"
in Nagole
, Hyderabad
","
by Concrete Infra
",6 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1265 sqft
"
133,"
JVR Delight
",71 Lac Onwards,,"
in Hastinapuram
, Hyderabad
","
by Sri Venkatavijay Infra Developers 
",2 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1290 sqft
"
134,"
SMR Vinay Boulder Woods
",75 Lac - 1.37 Cr,,"
in Bandlaguda Jagir
, Hyderabad
","
by SMR Builders Pvt Ltd
",18 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1340 - 1605 sqft
"
135,"
Green Alpha
",75.9 Lac - 1.38 Cr,,"
in Tellapur, Outer Ring Road
, Hyderabad
","
by Tripura Constructions
",5 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1265 sqft
"
136,"
Diamond Oak
",79 Lac - 1.08 Cr,,"
in Nallagandla, Serilingampally
, Hyderabad
","
by Sri Himaghna Constructions Pvt Ltd
",4 Floor Plan,"
2 BHK
Flat



","
Under Construction
","
1225 - 1317 sqft
"
137,"
Jains Balaji Nilayam Casa Waterside
",79.8 Lac - 1.58 Cr,,"
in Malkajgiri
, Hyderabad
","
by Jain Constructions
",16 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1330 sqft
"
138,"
Riddhis Golden Nest
",80.9 Lac - 1.07 Cr,,"
in Manikonda, Outer Ring Road
, Hyderabad
","
by Riddhi Builders
",4 Floor Plan,"
2 BHK
Flat



","
Possession in 2022
","
1285 - 1298 sqft
"
139,"
Praneeth KKRs Pranav Jaitra
",92.7 Lac - 2.38 Cr,,"
in Hyder Nagar, NH 9
, Hyderabad
","
by Praneeth Group
",19 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
1345 sqft
"
140,"
Niharika Landmark
",1.06 Cr - 1.33 Cr,,"
in Lingampally-Serilingampally, NH 2 2
, Hyderabad
","
by Niharika Projects
",4 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1595 - 1995 sqft
"
141,"
Niharika Lakefront
",1.11 Cr - 1.61 Cr,,"
in Khaja Guda, Outer Ring Road
, Hyderabad
","
by Niharika Projects
",4 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1450 - 2100 sqft
"
142,"
Om Sree Heights
",1.20 Cr - 1.61 Cr,,"
in Yapral
, Hyderabad
","
by Om Sree Builders & Developers LLP
",5 Floor Plan,"
3 BHK
Flat



","
Possession in 2023
","
2070 - 2780 sqft
"
143,"
The Olympus
",1.25 Cr - 2.39 Cr,,"
in Nanakram Guda
, Hyderabad
","
by Sumadhura Infracon Pvt. Ltd.
",1 Floor Plan,"
3 BHK
Flat



","
Possession in 2027
","
1670 sqft
"
144,"
Suvela Projects
",1.29 Cr Onwards,,"
in Rajendra Nagar, Outer Ring Road
, Hyderabad
","
by Suvela Projects Pvt. Ltd.
",,"
3 BHK
Flat



","
Possession in 2025
","
1985 sqft
"
145,"
Praneeth Pranav Knightwoods
",1.48 Cr - 1.95 Cr,,"
in Beeramguda, Ramachandra Puram, NH 9
, Hyderabad
","
by Praneeth Group
",2 Floor Plan,"
3 BHK
Villa



","
Possession in 2023
","
1800 sqft
"
146,"
Unnati
",2.42 Cr - 5 Cr,,"
in Ameerpet, NH 9
, Hyderabad
","
by Shri Salasar Developers
",5 Floor Plan,"
3 BHK
Flat



","
Possession in 2022
","
2450 - 2526 sqft
"
147,"
GKRS Palacio
",3.39 Cr - 3.41 Cr,,"
in Bandlaguda Jagir
, Hyderabad
","
by GKRS Properties LLP
",2 Floor Plan,"
4 BHK
Villa



","
Under Construction
","
3083 - 3100 sqft
"
148,"
Aparna One
",3.45 Cr - 6.25 Cr,,"
in Shaikpet
, Hyderabad
","
by Aparna Constructions and Estates Pvt. Ltd.
",6 Floor Plan,"
3 BHK
Flat



","
Possession in 2023
","
2876 sqft
"
149,"
Shanta Sriram Brookwoods
",3.64 Cr - 4.81 Cr,,"
in Kismatpur, Outer Ring Road
, Hyderabad
","
by Shanta Sriram Constructions
",28 Floor Plan,"
3 BHK
Villa



","
Possession in 2022
","
3355 sqft
"
150,"
Shweta Shubham
",54.8 Lac - 1.39 Cr,,"
in Kompally
, Hyderabad
","
by Splendeur Projects
",8 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
996 - 1114 sqft
(Carpet Area)
"
151,"
Ambience Courtyard
",90 Lac - 1.35 Cr,,"
in Manikonda, Outer Ring Road
, Hyderabad
","
by Koncept Ambience
",13 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1340 sqft
"
152,"
Gruhashilpis Kaushalya
",1.32 Cr - 2.53 Cr,,"
in Kompally
, Hyderabad
","
by Gruhashilpi Constructions
",20 Floor Plan,"
3 BHK
Villa



","
Possession in 2022
","
1773 - 3382 sqft
"
153,"
Praveens Crystal Avenue
",1.53 Cr - 2 Cr,,"
in Saheb Nagar, Vanasthalipuram, NH 9
, Hyderabad
","
by APR GROUP
",7 Floor Plan,"
4 BHK
Villa



","
Possession in 2022
","
2190 - 2865 sqft
"
154,"
Bloom Fields
",1.59 Cr - 1.82 Cr,,"
in Kompally
, Hyderabad
","
by Arhan infra
",,"
3 BHK
Villa



","
Possession in 2022
","
2345 - 2688 sqft
"
155,"
Sri Mytri Avasa
",2.07 Cr - 3.80 Cr,,"
in Mokila
, Hyderabad
","
by Sri Mytri Constructions and Developers
",1 Floor Plan,"
3 BHK
Villa



","
Possession in 2022
","
2384 - 4354 sqft
"
156,"
Village Pointe
",72.2 Lac - 1.16 Cr,,"
in Alkapur Township, Manikonda, Outer Ring Road
, Hyderabad
","
by RR Builders
",14 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1204 - 1315 sqft
"
157,"
Mahidhara Paradise
",74 Lac - 85 Lac,,"
in Isnapur, Outer Ring Road
, Hyderabad
","
by Mahidhara Projects Pvt. Ltd.
",2 Floor Plan,"
3 BHK
Villa



","
Possession in 2023
","
1600 - 2029 sqft
"
158,"
S Cube County
",75 Lac - 1.89 Cr,,"
in Srisailam Highway
, Hyderabad
","
by Subhashini Signature Services Pvt. Ltd.
",,"
3 BHK
Villa



","
Possession in 2024
","
1951 - 4221 sqft
"
159,"
Greenridge Villas
",90.6 Lac - 1.96 Cr,,"
in Yapral
, Hyderabad
","
by Squarius Infra Projects Pvt Ltd.
",17 Floor Plan,"
3 BHK
Villa



","
Possession in 2022
","
1510 - 2586 sqft
"
160,"
EIPL Apila
",98 Lac - 1.57 Cr,,"
in Gandipet
, Hyderabad
","
by EIPL Group
",14 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1360 sqft
"
161,"
Luxor Woods
",1.05 Cr Onwards,,"
in Tukkuguda, Srisailam Highway
, Hyderabad
","
by N Square Projects Pvt Ltd
",,"
3 BHK
Villa



","
Possession in 2026
","
2600 sqft
"
162,"
Casa Hills
",1.08 Cr - 1.40 Cr,,"
in Shamshabad
, Hyderabad
","
by Tarini Avenues LLP
",,"
4 BHK
Villa



","
Possession in 2023
","
1620 sqft
"
163,"
Praveens Grandio
",1.22 Cr - 1.83 Cr,,"
in Patancheru
, Hyderabad
","
by APR Group
",4 Floor Plan,"
3 BHK
Villa



","
Under Construction
","
1770 - 2510 sqft
"
164,"
Bandari Blossoms
",36 Lac - 48.6 Lac,,"
in Ghatkesar, NH 2 2
, Hyderabad
","
by Laxmi Infrastructure
",9 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1000 - 1050 sqft
"
165,"
Sai Mythris Prem Nivas
",42 Lac Onwards,,"
in Gajularamaram
, Hyderabad
","
by Prem Constructions
",1 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1120 sqft
"
166,"
Sri Venkateswara Nilayam
",44.5 Lac Onwards,,"
in Mallampet, Outer Ring Road
, Hyderabad
","
by SR Constructions
",2 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1235 sqft
"
167,"
Vasu Sri Sunrise
",45 Lac - 51.8 Lac,,"
in Kompally
, Hyderabad
","
by Vasu Sri Infra Projects
",2 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1150 sqft
"
168,"
Vertiqle Veda
",45.5 Lac - 57 Lac,,"
in Gandi Maisamma, Outer Ring Road
, Hyderabad
","
by Vertiqle Builders and Developers
",2 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1200 sqft
"
169,"
Indigo Enclave
",46.6 Lac Onwards,,"
in Kapra
, Hyderabad
","
by Indigo Constructions
",2 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1004 sqft
"
170,"
Aditya Nest
",53 Lac - 55 Lac,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by Sree Suryya Developers
",3 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
900 - 907 sqft
"
171,"
Sri Vathsa Sky Heaven
",68.8 Lac - 1.35 Cr,,"
in Miyapur, NH 9
, Hyderabad
","
by Sri Vathsa Homes Pvt Ltd
",12 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1146 - 1672 sqft
"
172,"
Dhivya Shree Shakthi
",73 Lac - 2.07 Cr,,"
in Miyapur, NH 9
, Hyderabad
","
by Dhivya Shakti Group
",23 Floor Plan,"
4 BHK
Flat



","
Ready To Move
","
3152 sqft
"
173,"
NCC Urban Gardenia
",3.01 Cr - 3.69 Cr,,"
in Hitech City
, Hyderabad
","
by NCC Urban Infrastructure Ltd
",11 Floor Plan,"
4 BHK
Flat



","
Ready To Move
","
3448 sqft
"
174,"
Ira Orchid
",35 Lac Onwards,,"
in Isnapur, Outer Ring Road
, Hyderabad
","
by Nihira Constructions
",1 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1100 sqft
"
175,"
SVS Ample Homes
",57.8 Lac - 88 Lac,,"
in Chandanagar, NH 9
, Hyderabad
","
by SVS Infracon Pvt Ltd
",9 Floor Plan,"
2 BHK
Builder Floor



","
Possession in 2023
","
950 - 1250 sqft
"
176,"
Sahasraa
",72.8 Lac - 1.44 Cr,,"
in Kondapur
, Hyderabad
","
by Fuerzaa Group
",4 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1156 - 1218 sqft
"
177,"
Praneeta Singapur Town
",1.25 Cr - 1.27 Cr,,"
in Shankarpalli-Rangareddi 
, Hyderabad
","
by Praneeta Developers
",6 Floor Plan,"
4 BHK
Villa



","
Possession in 2022
","
2290 - 2323 sqft
"
178,"
ISTA at 228
",2.83 Cr Onwards,,"
in Madhapur
, Hyderabad
","
by ISTA Homes
",1 Floor Plan,"
4 BHK
Flat



","
Possession in 2022
","
2780 sqft
"
179,"
ISTA at 365
",2.84 Cr Onwards,,"
in Madhapur
, Hyderabad
","
by ISTA Homes
",1 Floor Plan,"
4 BHK
Flat



","
Possession in 2022
","
2785 sqft
"
180,"
Empire Insignia
",3.27 Cr - 3.73 Cr,,"
in Appa junction
, Hyderabad
","
by Empire Delta Projects LLP
",15 Floor Plan,"
4 BHK
Villa



","
Ready To Move
","
3271 - 3731 sqft
"
181,"
Vessella Woods
",5.73 Cr - 7.04 Cr,,"
in Kondapur
, Hyderabad
","
by Vessella Group
",1 Floor Plan,"
4 BHK
Villa



","
Possession in 2022
","
3584 - 4259 sqft
"
182,"
Mantri A
",9.64 Cr - 11.50 Cr,,"
in Jubilee Hills
, Hyderabad
","
by Mantri Developers Pvt. Ltd.
",6 Floor Plan,"
4 BHK
Flat



","
Possession in 2023
","
4006 - 4237 sqft
(Carpet Area)
"
183,"
Jains Carlton Creek Phase II
",75.5 Lac - 1.43 Cr,,"
in Gachibowli
, Hyderabad
","
by Jain Housing & Constructions Ltd.
",2 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
944 sqft
"
184,"
Srusti Symphony
",79.5 Lac - 2.34 Cr,,"
in Kondapur
, Hyderabad
","
by Srusti Infra Developers India Pvt. Ltd.
",,"
2 BHK
Flat



","
Ready To Move
","
1135 - 1250 sqft
"
185,"
Sikhara Tranquil
",1.77 Cr - 2.38 Cr,,"
in Cherlapalli
, Hyderabad
","
by Sikhara Developers
",8 Floor Plan,"
4 BHK
Villa



","
Possession in 2023
","
2734 - 3670 sqft
"
186,"
Sai Vaibhavi Valero
",4.50 Cr Onwards,,"
in Jubilee Hills
, Hyderabad
","
by Vaibhavi Projects
",3 Floor Plan,"
4 BHK
Flat



","
Possession in 2022
","
3820 sqft
"
187,"
Gajanana Homes
",46 Lac - 69.2 Lac,,"
in Kompally
, Hyderabad
","
by Sri Gajanana Constructions
",7 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1000 - 1150 sqft
"
188,"
Buildwell Acropolis
",50.4 Lac - 65.2 Lac,,"
in Nagole
, Hyderabad
","
by Buildwell Builders
",2 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1060 - 1117 sqft
"
189,"
Dhivi
",59.9 Lac - 83.4 Lac,,"
in Pragathi Nagar, Kukatpally
, Hyderabad
","
by Rudhra Constructions
",,"
2 BHK
Flat



","
Ready To Move
","
1197 - 1208 sqft
"
190,"
Jains Salzburg
",60 Lac - 80.3 Lac,,"
in Bandlaguda Jagir
, Hyderabad
","
by Jain Housing & Constructions Ltd.
",14 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1020 - 1091 sqft
"
191,"
Aarthis Alansh Homes
",60 Lac - 65 Lac,,"
in Uppal, NH 2 2
, Hyderabad
","
by Aarthi Constructions
",2 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1170 - 1200 sqft
"
192,"
Indigo Pride
",60.1 Lac - 76 Lac,,"
in Kapra
, Hyderabad
","
by Indigo Constructions
",3 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1246 sqft
"
193,"
Ankura
",61.3 Lac - 62.7 Lac,,"
in Uppal, NH 2 2
, Hyderabad
","
by TEE NINE INFRA
",,"
2 BHK
Flat



","
Ready To Move
","
1115 - 1120 sqft
"
194,"
Land Mark
",73.8 Lac - 99 Lac,,"
in Nagole
, Hyderabad
","
by Ketrish Developer
",4 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1230 sqft
"
195,"
AR The Nest
",76.9 Lac - 1.14 Cr,,"
in Manikonda, Outer Ring Road
, Hyderabad
","
by AR Infra and Developers
",24 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1220 - 1305 sqft
"
196,"
RR Signature
",76.9 Lac - 1.20 Cr,,"
in Kokapet, Outer Ring Road
, Hyderabad
","
by RR Builders
",8 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1221 - 1236 sqft
"
197,"
Aryan Excelencia
",85.3 Lac - 89.2 Lac,,"
in Uppal, NH 2 2
, Hyderabad
","
by Bhumija Developers
",1 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1551 - 1621 sqft
"
198,"
United Avenues
",89.3 Lac - 1.27 Cr,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by Vedic Constructions
",8 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1395 sqft
"
199,"
Fort View
",93.6 Lac Onwards,,"
in Hydershakote
, Hyderabad
","
by Theme Projects
",2 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1950 sqft
"
200,"
Bay Hills
",96.2 Lac - 1.56 Cr,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by Ananda Homes
",30 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1604 - 2608 sqft
(Carpet Area)
"
201,"
Greentech O2 Community
",1.43 Cr - 2.26 Cr,,"
in Wadakpally
, Hyderabad
","
by Sri Aditya Squares
",4 Floor Plan,"
4 BHK
Villa



","
Possession in 2023
","
3180 - 5037 sqft
"
202,"
Mukka Praveens Signator 
",1.46 Cr - 2 Cr,,"
in Mallampet, Outer Ring Road
, Hyderabad
","
by APR GROUP
",5 Floor Plan,"
4 BHK
Villa



","
Possession in 2022
","
2180 - 2985 sqft
"
203,"
Amulya Green Lands
",1.76 Cr - 1.84 Cr,,"
in Tukkuguda, Srisailam Highway
, Hyderabad
","
by Kamala Builders & Developers
",2 Floor Plan,"
4 BHK
Villa



","
Possession in 2023
","
3215 - 3359 sqft
"
204,"
Celebrity Prime Oaks
",1.82 Cr Onwards,,"
in Madhapur
, Hyderabad
","
by Celebrity Prime Developers
",1 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1918 sqft
"
205,"
Lakshmi Sikhara Pride
",2.03 Cr - 2.25 Cr,,"
in Film Nagar
, Hyderabad
","
by Sikhara Projects
",2 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
2256 - 2511 sqft
"
206,"
NDRs Vipasa
",2.50 Cr - 2.70 Cr,,"
in Shankarpalli Road
, Hyderabad
","
by NDR Developers & Constructions
",1 Floor Plan,"
4 BHK
Villa



","
Possession in 2024
","
3325 sqft
"
207,"
Vishal Sanjivini
",2.98 Cr - 4 Cr,,"
in Tukkuguda, Srisailam Highway
, Hyderabad
","
by Vishal Projects Pvt. Ltd.
",27 Floor Plan,"
4 BHK
Villa



","
Possession in 2024
","
1998 - 2925 sqft
"
208,"
Theme Projects
",87.8 Lac Onwards,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by Kranthi Properties
",1 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1950 sqft
"
209,"
Riddhis Grandeur
",91.8 Lac - 97.3 Lac,,"
in Alkapur Township, Manikonda, Outer Ring Road
, Hyderabad
","
by Riddhi Builders and Developers
",13 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1480 - 1570 sqft
"
210,"
MPM SS Pinnacle
",96.5 Lac - 1.22 Cr,,"
in Ameerpet, NH 9
, Hyderabad
","
by MPM Group
",8 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1206 - 1365 sqft
"
211,"
Sukhii 9
",96.9 Lac - 1.14 Cr,,"
in Bachupally
, Hyderabad
","
by NJR Constructions Private Limited and Sukhii Group
",6 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1615 - 1905 sqft
"
212,"
EIPL Rivera
",1.26 Cr Onwards,,"
in Manchirevula, Outer Ring Road
, Hyderabad
","
by EIPL Group
",4 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
2025 sqft
"
213,"
Krushi Madhava Nest
",1.43 Cr - 1.48 Cr,,"
in Patancheru
, Hyderabad
","
by Krushi Infra Projects India Private Limited
",2 Floor Plan,"
4 BHK
Villa



","
Possession in 2022
","
2280 - 2316 sqft
"
214,"
Siri Elite
",1.52 Cr - 1.63 Cr,,"
in Tukkuguda, Srisailam Highway
, Hyderabad
","
by Grenstone Infra
",4 Floor Plan,"
4 BHK
Villa



","
Possession in 2024
","
2700 - 3060 sqft
"
215,"
Riddhis Laxman County
",2.35 Cr - 3 Cr,,"
in Tukkuguda, Srisailam Highway
, Hyderabad
","
by Riddhi Builders
",12 Floor Plan,"
4 BHK
Villa



","
Possession in 2023
","
3624 - 4634 sqft
"
216,"
Risinia Trendilla
",68.1 Lac - 1 Cr,,"
in Bachupally
, Hyderabad
","
by Risinia Builders
",8 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1195 - 1295 sqft
"
217,"
RR Tropicana
",73.2 Lac - 1.25 Cr,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by RR Builders
",11 Floor Plan,"
2 BHK
Flat



","
Ready To Move
","
1220 - 1285 sqft
"
218,"
Riddhis Saphire
",1.05 Cr - 1.43 Cr,,"
in Narsingi, Outer Ring Road
, Hyderabad
","
by Riddhi Infra Estate LLP
",9 Floor Plan,"
3 BHK
Flat



","
Ready To Move
","
1510 - 2055 sqft
"
219,"
Saket Bhusatva
",1.52 Cr - 3.06 Cr,"

","
in Kompally
, Hyderabad
","
by Saket Group
",5 Floor Plan,"
3 BHK
Villa



","
Ready To Move
","
2113 - 3880 sqft
"
220,"
SMR Vinay Casa Carino
",6.46 Cr - 7.67 Cr,,"
in Rajendra Nagar, Outer Ring Road
, Hyderabad
","
by SMR Holdings
",9 Floor Plan,"
5 BHK
Villa



","
Under Construction
","
4310 - 5116 sqft
"
221,"
The Bodhivriksha
",82 Lac - 1.13 Cr,,"
in Appa junction
, Hyderabad
","
by Shanta Sriram Constructions Private Limited & P Mangatram Developers LLP 
",7 Floor Plan,"
3 BHK
Builder Floor



","
Possession in 2025
","
1294 - 1905 sqft
"
222,"
Green Valley Villas
",84 Lac - 1.02 Cr,,"
in Shamirpet
, Hyderabad
","
by Laxmi Infratech
",4 Floor Plan,"
2 BHK
House



","
Ready To Move
","
2038 sqft
"
223,"
Aliens Space Station
",80.1 Lac - 1.10 Cr,,"
in Gachibowli
, Hyderabad
","
by Aliens Group
",28 Floor Plan,"
2 BHK
Flat



","
Possession in 2023
","
1432 sqft
"
224,"
NR Infra Ultimus
",84.5 Lac - 1.14 Cr,,"
in Patancheru
, Hyderabad
","
by NR Infra
",8 Floor Plan,"
2 BHK
House



","
Ready To Move
","
1920 - 2500 sqft
"
225,"
Hillton
",34.7 Lac - 76.5 Lac,,"
in Chandanagar, NH 9
, Hyderabad
","
by Jaya Group
",2 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
204 - 897 sqft
(Carpet Area)
"
226,"
Rainbow Vistas Rock Gardens
",1.85 Cr - 1.87 Cr,,"
in Hitech City
, Hyderabad
","
by Cybercity Builders and Developers Pvt. Ltd.
",22 Floor Plan,"
4 BHK
Flat



","
Possession in 2022
","
2795 sqft
"
227,"
Vasavi Urban
",41 Lac - 52 Lac,,"
in Bachupally
, Hyderabad
","
by Vasavi Group
",3 Floor Plan,"
2 BHK
Flat



","
Possession in 2024
","
578 - 950 sqft
(Carpet Area)
"
228,"
My Home Bhooja
",3.32 Cr - 5.32 Cr,,"
in Hitech City
, Hyderabad
","
by My Home Group
",4 Floor Plan,"
3 BHK
Flat



","
Under Construction
","
1946 - 2572 sqft
(Carpet Area)
"
229,"
Udaya Cresent
",1.75 Cr Onwards,,"
in Kondapur
, Hyderabad
","
by Creative Koven Developers
",10 Floor Plan,"
3 BHK
Flat



","
Possession in 2023
","
2265 sqft
"
